"iso3","Gdeg_in"
"ARM",28
"AFG",23
"ALB",30
"DZA",51
"ATG",20
"ARG",29
"AUS",86
"AUT",56
"BHS",23
"BHR",61
"BRB",27
"BGD",32
"BMU",7
"BTN",8
"BOL",20
"BWA",15
"BRA",51
"ARB",27
"BLZ",19
"SLB",16
"BRN",29
"BGR",49
"MMR",32
"BDI",19
"CMR",40
"CAN",95
"CPV",23
"CAF",20
"LKA",32
"TCD",17
"CHL",48
"CHN",82
"COL",36
"COM",30
"COG",39
"COK",9
"CRI",41
"CUB",25
"CYP",49
"AZE",40
"BEN",42
"DNK",58
"DMA",19
"DOM",37
"BLR",33
"ECU",26
"EGY",52
"SLV",24
"GNQ",28
"EST",37
"FRO",8
"FJI",28
"FIN",39
"FRA",90
"PYF",24
"DJI",31
"GEO",41
"GAB",34
"GMB",38
"DEU",82
"BIH",25
"GHA",59
"KIR",16
"GRC",55
"GRL",5
"GRD",14
"GTM",33
"GIN",44
"GUY",30
"HTI",31
"HND",25
"HKG",69
"HUN",38
"HRV",36
"ISL",24
"IND",56
"IDN",43
"IRN",41
"IRQ",57
"IRL",56
"ISR",59
"ITA",79
"CIV",45
"KAZ",36
"JAM",25
"JPN",57
"JOR",58
"KGZ",23
"KEN",51
"KHM",33
"PRK",14
"KOR",65
"KWT",67
"LVA",37
"LAO",9
"LBN",64
"LSO",3
"LBR",36
"LBY",50
"LTU",39
"MAC",24
"MDG",31
"MWI",26
"MYS",65
"MDV",37
"MLI",35
"MLT",47
"MRT",38
"MUS",52
"MEX",48
"MNG",35
"MAR",49
"MOZ",41
"MDA",30
"NAM",25
"NPL",25
"NLD",81
"ANT",0
"NCL",23
"MKD",27
"VUT",22
"NZL",59
"NIC",24
"NER",35
"NGA",57
"NOR",60
"PAK",35
"PAN",52
"CZE",46
"PNG",25
"PRY",30
"PER",38
"PHL",52
"POL",49
"PRT",61
"GNB",16
"TLS",8
"ERI",12
"QAT",66
"ZWE",24
"ROU",47
"RWA",26
"RUS",67
"KNA",13
"LCA",24
"VCT",15
"STP",12
"SAU",69
"SEN",46
"SYC",36
"SLE",35
"SVN",37
"SVK",33
"SGP",66
"SOM",37
"ZAF",65
"ESP",82
"SUR",40
"TJK",16
"SWZ",5
"SWE",69
"CHE",67
"SYR",26
"TKM",20
"TWN",58
"TZA",42
"THA",55
"TGO",40
"TON",8
"TTO",40
"OMN",60
"TUN",40
"TUR",72
"ARE",86
"UGA",40
"TUV",7
"GBR",99
"UKR",50
"USA",113
"BFA",37
"URY",40
"UZB",26
"VEN",39
"VNM",57
"ETH",35
"YEM",45
"COD",40
"ZMB",27
"BEL",76
"LUX",23
"SRB",35
"MNE",25
"SDN",41
"SSD",9
"PSE",35
