"iso3","Gstrength_total"
"ARM",799228310000
"AFG",7740419160000
"ALB",982473306666.667
"DZA",27243922116666.7
"ATG",18729266666.6667
"ARG",33123275116666.7
"AUS",62667818870000
"AUT",7998170966666.67
"BHS",46656673333.3333
"BHR",332672983333.333
"BRB",116059306666.667
"BGD",18737577950000
"BMU",13748476666.6667
"BTN",9713490000
"BOL",1134891013333.33
"BWA",182727863333.333
"BRA",24783458860000
"ARB",21704206666.6667
"BLZ",72349790000
"SLB",66362376666.6667
"BRN",53944286666.6667
"BGR",13844259660000
"MMR",1584785900000
"BDI",181202890000
"CMR",2274156626666.67
"CAN",78667780653333.3
"CPV",94675673333.3333
"CAF",40787566666.6667
"LKA",3534563256666.67
"TCD",173075140000
"CHL",3857675063333.33
"CHN",14427690373333.3
"COL",6635099960000
"COM",45988650000
"COG",790432540000
"COK",4443830000
"CRI",1321812173333.33
"CUB",2786106613333.33
"CYP",580426746666.667
"AZE",4392850996666.67
"BEN",802729993333.333
"DNK",5273552910000
"DMA",7496730000
"DOM",1813320993333.33
"BLR",698002816666.667
"ECU",3514686566666.67
"EGY",39023373146666.7
"SLV",1440424530000
"GNQ",104173803333.333
"EST",1977122410000
"FRO",53104773333.3333
"FJI",737143433333.333
"FIN",1423264836666.67
"FRA",71437123106666.7
"PYF",79988483333.3333
"DJI",1943022256666.67
"GEO",1927125070000
"GAB",401189523333.333
"GMB",285536246666.667
"DEU",58705221513333.3
"BIH",2139086876666.67
"GHA",2794005790000
"KIR",15864240000
"GRC",5252057123333.33
"GRL",16337940000
"GRD",71137333333.3333
"GTM",2722078253333.33
"GIN",1137736010000
"GUY",249290766666.667
"HTI",1039144523333.33
"HND",1358150243333.33
"HKG",1443878356666.67
"HUN",10542118773333.3
"HRV",1935090716666.67
"ISL",180806070000
"IND",11123858760000
"IDN",34700845883333.3
"IRN",6970751526666.67
"IRQ",7777590650000
"IRL",3288765476666.67
"ISR",5902113483333.33
"ITA",35455030540000
"CIV",2557200313333.33
"KAZ",22150867816666.7
"JAM",685577250000
"JPN",21293751450000
"JOR",3740250660000
"KGZ",1176894576666.67
"KEN",5957125796666.67
"KHM",148824230000
"PRK",2.66561e+11
"KOR",15269454866666.7
"KWT",2084907736666.67
"LVA",10007739826666.7
"LAO",52146376666.6667
"LBN",4512510460000
"LSO",162959046666.667
"LBR",231958933333.333
"LBY",4565031926666.67
"LTU",10593496560000
"MAC",102048410000
"MDG",629002433333.333
"MWI",655575483333.333
"MYS",6740687806666.67
"MDV",103732346666.667
"MLI",1135102070000
"MLT",261163063333.333
"MRT",1813700423333.33
"MUS",673022680000
"MEX",22380063136666.7
"MNG",329033553333.333
"MAR",14658379943333.3
"MOZ",2266806553333.33
"MDA",2058131060000
"NAM",479166236666.667
"NPL",512260500000
"NLD",25610521426666.7
"ANT",0
"NCL",124856166666.667
"MKD",620441110000
"VUT",52646566666.6667
"NZL",2030226926666.67
"NIC",744947496666.667
"NER",301856110000
"NGA",16015305650000
"NOR",1594354710000
"PAK",2277301096666.67
"PAN",767967433333.333
"CZE",10729328423333.3
"PNG",833597780000
"PRY",2437087410000
"PER",6834398340000
"PHL",18138394973333.3
"POL",17770276966666.7
"PRT",6142375220000
"GNB",60555730000
"TLS",76658120000
"ERI",174780656666.667
"QAT",610288963333.333
"ZWE",582431516666.667
"ROU",24308366723333.3
"RWA",392766943333.333
"RUS",91835597800000
"KNA",7033576666.66667
"LCA",45890350000
"VCT",135561206666.667
"STP",35427623333.3333
"SAU",12610403900000
"SEN",2384153206666.67
"SYC",22774333333.3333
"SLE",206349510000
"SVN",1123216616666.67
"SVK",5415249273333.33
"SGP",1692777950000
"SOM",1368186410000
"ZAF",7477698126666.67
"ESP",24605336350000
"SUR",91084826666.6667
"TJK",3663275666666.67
"SWZ",25849673333.3333
"SWE",5214914890000
"CHE",2641217116666.67
"SYR",2409529640000
"TKM",231194556666.667
"TWN",5093491420000
"TZA",3313477713333.33
"THA",14615413133333.3
"TGO",595346866666.667
"TON",20165893333.3333
"TTO",517366646666.667
"OMN",3665839593333.33
"TUN",6688737380000
"TUR",31924082403333.3
"ARE",7142888266666.67
"UGA",1372372900000
"TUV",2098550000
"GBR",16968165470000
"UKR",55933226766666.7
"USA",99999999923333.4
"BFA",884666420000
"URY",692115150000
"UZB",7896052186666.67
"VEN",4302412093333.33
"VNM",13273817193333.3
"ETH",3577190386666.67
"YEM",10667252100000
"COD",1191126113333.33
"ZMB",189392970000
"BEL",21703011510000
"LUX",875910073333.334
"SRB",2872782913333.33
"MNE",346697716666.667
"SDN",7339375773333.33
"SSD",103486066666.667
"PSE",221974633333.333
