"iso3","R0"
"AFG",0
"ALB",0
"ANT",0
"ARB",0
"ARE",1.5e+11
"ARG",6.84e+11
"ARM",0
"ATG",0
"AUS",3.324e+11
"AUT",0
"AZE",0
"BDI",0
"BEL",0
"BEN",0
"BFA",1.404e+11
"BGD",5.2992e+12
"BGR",138462723351.769
"BHR",0
"BHS",0
"BIH",0
"BLR",0
"BLZ",0
"BMU",0
"BOL",0
"BRA",1.3812e+12
"BRB",0
"BRN",0
"BTN",0
"BWA",0
"CAF",0
"CAN",0
"CHE",6.36e+10
"CHL",2.184e+11
"CHN",4.08e+14
"CIV",0
"CMR",0
"COD",0
"COG",0
"COK",0
"COL",1.3344e+12
"COM",0
"CPV",0
"CRI",1.092e+11
"CUB",0
"CYP",0
"CZE",0
"DEU",0
"DJI",0
"DMA",0
"DNK",0
"DOM",1.1004e+12
"DZA",0
"ECU",6.072e+11
"EGY",4.4292e+12
"ERI",0
"ESP",1090137217190.86
"EST",0
"ETH",0
"FIN",0
"FJI",0
"FRA",161420205292.15
"FRO",0
"GAB",0
"GBR",0
"GEO",0
"GHA",9e+11
"GIN",5.784e+11
"GMB",9.36e+10
"GNB",5.64e+10
"GNQ",0
"GRC",407205261229.193
"GRD",0
"GRL",0
"GTM",0
"GUY",4.68e+11
"HKG",0
"HND",1.068e+11
"HRV",0
"HTI",2.424e+11
"HUN",55233579326.0489
"IDN",1.52196e+13
"IND",1.0452e+14
"IRL",0
"IRN",2.064e+12
"IRQ",3.504e+11
"ISL",0
"ISR",7.44e+10
"ITA",1985334486466.01
"JAM",0
"JOR",5.76e+10
"JPN",7.4892e+12
"KAZ",0
"KEN",3.228e+11
"KGZ",0
"KHM",1.794e+12
"KIR",0
"KNA",0
"KOR",4.662e+12
"KWT",0
"LAO",4.404e+11
"LBN",0
"LBR",1.332e+11
"LBY",0
"LCA",0
"LKA",1.4832e+12
"LSO",0
"LTU",0
"LUX",0
"LVA",0
"MAC",0
"MAR",0
"MDA",0
"MDG",0
"MDV",0
"MEX",5.448e+11
"MKD",0
"MLI",7.848e+11
"MLT",0
"MMR",3.6156e+12
"MNE",0
"MNG",0
"MOZ",0
"MRT",5.88e+10
"MUS",0
"MWI",0
"MYS",1.1364e+12
"NAM",0
"NCL",0
"NER",0
"NGA",4.128e+12
"NIC",4.896e+11
"NLD",0
"NOR",0
"NPL",0
"NZL",0
"OMN",3.24e+11
"PAK",3.7032e+12
"PAN",2.316e+11
"PER",9.3e+11
"PHL",1.07136e+13
"PNG",0
"POL",0
"PRK",0
"PRT",285265191670.068
"PRY",2.64e+11
"PSE",0
"PYF",0
"QAT",0
"ROU",108141335473.906
"RUS",3.348e+11
"RWA",0
"SAU",7.62e+11
"SDN",0
"SEN",8.148e+11
"SGP",0
"SLB",0
"SLE",0
"SLV",4.08e+10
"SOM",0
"SRB",0
"SSD",0
"STP",0
"SUR",0
"SVK",0
"SVN",0
"SWE",0
"SWZ",0
"SYC",0
"SYR",1.8e+10
"TCD",0
"TGO",0
"THA",1.39596e+13
"TJK",0
"TKM",1.44e+10
"TLS",0
"TON",0
"TTO",0
"TUN",0
"TUR",3.144e+11
"TUV",0
"TWN",2.3484e+12
"TZA",0
"UGA",0
"UKR",0
"URY",4.368e+11
"USA",3.9912e+12
"UZB",1.692e+11
"VCT",0
"VEN",2.304e+11
"VNM",3.8364e+12
"VUT",0
"YEM",0
"ZAF",2.22e+11
"ZMB",0
"ZWE",0
